pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,lat,long,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,st_met,sy_dist,st_logg,pl_orbsmax
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,1,1,Microlensing,2014,OGLE,-29.0146,-70.6926,11.561052,12.3,4100,0,98.57,0.02,3040,0,0.8
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,1,1,Microlensing,2017,OGLE,-29.0146,-70.6926,11.561052,11.6,92,0,98.57,0.02,3900,0,3.6
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,2,1,Microlensing,2014,OGLE,-29.0146,-70.6926,11.561052,1.16,1.66,0,98.57,0.02,911,0,0.702
OGLE-2013-BLG-0911L b,OGLE-2013-BLG-0911L,1,1,Microlensing,2019,OGLE,-29.0146,-70.6926,11.561052,12.5,3020,0,98.57,0.02,3220,0,0.39
OGLE-2013-BLG-1721L b,OGLE-2013-BLG-1721L,1,1,Microlensing,2017,OGLE,-29.0146,-70.6926,11.561052,14.1,200,0,98.57,0.02,6300,0,2.6
OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,13.2,860,0,98.57,0.02,6900,0,1.8
OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,1,1,Microlensing,2015,OGLE,-29.0146,-70.6926,11.561052,14.1,206.58846,0,98.57,0.02,3500,0,3.48
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,14.1,181.16219,0,98.57,0.02,7730,0,3.49
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,1,1,Microlensing,2016,OGLE,-29.0146,-70.6926,11.561052,13,1169.60854,0,98.57,0.02,2670,0,4.53
OGLE-2014-BLG-1722L b,OGLE-2014-BLG-1722L,1,2,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,8.59,55.3,0,98.57,0.02,6400,0,1.5
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,1,2,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,11,83.7,0,98.57,0.02,6400,0,1.7
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,1,1,Microlensing,2016,OGLE,-29.0146,-70.6926,11.561052,14.2,180,0,98.57,0.02,6860,0,1.75
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,1,1,Microlensing,2016,OGLE,-29.0146,-70.6926,11.561052,14,230,0,98.57,0.02,8200,0,0.73
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,1,1,Microlensing,2016,OGLE,-29.0146,-70.6926,11.561052,4.86,21,0,98.57,0.02,3300,0,2.7
OGLE-2015-BLG-1649L b,OGLE-2015-BLG-1649L,1,1,Microlensing,2019,OGLE,-29.0146,-70.6926,11.561052,13.2,807,0,98.57,0.02,4230,0,2.07
OGLE-2015-BLG-1670L b,OGLE-2015-BLG-1670L,1,1,Microlensing,2019,OGLE,-29.0146,-70.6926,11.561052,4.42,17.9,0,98.57,0.02,6700,0,2.62
OGLE-2015-BLG-1771L b,OGLE-2015-BLG-1771L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,14.3,138,0,98.57,0.02,7070,0,0.85
OGLE-2016-BLG-0263L b,OGLE-2016-BLG-0263L,1,1,Microlensing,2017,OGLE,-29.0146,-70.6926,11.561052,13,1300,0,98.57,0.02,6500,0,5.4
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,2,1,Microlensing,2017,OGLE,-29.0146,-70.6926,11.561052,13,1330,0,98.57,0.02,3410,0,6.4
OGLE-2016-BLG-1067L b,OGLE-2016-BLG-1067L,1,1,Microlensing,2019,OGLE,-29.0146,-70.6926,11.561052,14.3,140,0,98.57,0.02,3730,0,1.7
OGLE-2016-BLG-1093 b,OGLE-2016-BLG-1093,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,14,225.65817,0,98.57,0.02,8120,0,2.13
OGLE-2016-BLG-1190L b,OGLE-2016-BLG-1190L,1,1,Microlensing,2017,OGLE,-29.0146,-70.6926,1220,12.3,4253,0.42,98.57,0.02,6770,0,2.17
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,1,1,Microlensing,2017,OGLE,-29.0146,-70.6926,11.561052,1.11,1.43,0,98.57,0.02,3910,0,1.16
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,13.9,250,0,98.57,0.02,411.144,0,3.4
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,1.62,3.269,0,98.57,0.02,4705,0,3.913
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,14,127,0,98.57,0.02,5915,0,2.424
OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,14.2,130,0,98.57,0.02,5200,0,3.5
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,2.95,9,0,98.57,0.02,5800,0,1.8
OGLE-2017-BLG-0604L b,OGLE-2017-BLG-0604L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,14.2,160,0,98.57,0.02,3950,0,4.06
OGLE-2017-BLG-1049L b,OGLE-2017-BLG-1049L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,12.8,1760,0,98.57,0.02,5670,0,3.92
OGLE-2017-BLG-1099L b,OGLE-2017-BLG-1099L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,13.1,959.84179,0,98.57,0.02,7250,0,2.73
OGLE-2017-BLG-1140L b,OGLE-2017-BLG-1140L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,13.5,505,0,98.57,0.02,411.144,0,1.02
OGLE-2017-BLG-1375L b,OGLE-2017-BLG-1375L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,12.4,3585,0,98.57,0.02,3930,0,3.04
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,1.94,4.43,0,98.57,0.02,860,0,1.18
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,1,1,Microlensing,2018,OGLE,-29.0146,-70.6926,11.561052,14,240,0,98.57,0.02,7490,0,0.59
OGLE-2017-BLG-1691L b,OGLE-2017-BLG-1691L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,3.92,14.62011,0,98.57,0.02,7290,0,2.41
OGLE-2017-BLG-1806L b,OGLE-2017-BLG-1806L,1,1,Microlensing,2023,OGLE,-29.0146,-70.6926,11.561052,2.15,5.27,0,98.57,0.02,6400,0,1.75
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,7.56,44.49598,0,98.57,0.02,6540,0,2.86
OGLE-2018-BLG-0383L b,OGLE-2018-BLG-0383L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,2.41,6.4,0,98.57,0.02,7700,0,1.8
OGLE-2018-BLG-0506L b,OGLE-2018-BLG-0506L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,4.18,16.3,0,98.57,0.02,5600,0,3
OGLE-2018-BLG-0516L b,OGLE-2018-BLG-0516L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,4.73,20.1,0,98.57,0.02,7000,0,2.2
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,2.37,6.228,0,98.57,0.02,773,0,1.064
OGLE-2018-BLG-0567L b,OGLE-2018-BLG-0567L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,12.3,101.70509,0,98.57,0.02,7060,0,2.72
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,1,1,Microlensing,2019,OGLE,-29.0146,-70.6926,11.561052,3.81,13.93,0,98.57,0.02,5650,0,0.97
OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,1.82,3.96,0,98.57,0.02,7580,0,0.63
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,1,1,Microlensing,2019,OGLE,-29.0146,-70.6926,5480,12.9,1500,0,98.57,-0.24,3200,4.5,5
OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,10.9,82.63539,0,98.57,0.02,4050,0,1.28
OGLE-2018-BLG-0962L b,OGLE-2018-BLG-0962L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,13.6,425.89007,0,98.57,0.02,6500,0,3.59
OGLE-2018-BLG-0977L b,OGLE-2018-BLG-0977L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,2.41,6.4,0,98.57,0.02,6500,0,2
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,1,2,Microlensing,2019,OGLE,-29.0146,-70.6926,11.561052,13.5,570,0,98.57,0.02,7100,0,1.8
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,1,2,Microlensing,2019,OGLE,-29.0146,-70.6926,11.561052,13.2,890,0,98.57,0.02,7100,0,0.8
OGLE-2018-BLG-1119L b,OGLE-2018-BLG-1119L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,13.9,289.22385,0,98.57,0.02,5760,0,4.06
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,2.83,8.4,0,98.57,0.02,7400,0,1.54
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,1,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,14.1,210,0,98.57,0.02,2510,0,4.51
OGLE-2018-BLG-1428L b,OGLE-2018-BLG-1428L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,14,240,0,98.57,0.02,6220,0,3.3
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,2,1,Microlensing,2020,OGLE,-29.0146,-70.6926,11.561052,12.9,1400,0,98.57,0.02,7600,0,2.8
OGLE-2019-BLG-0249L b,OGLE-2019-BLG-0249L,1,1,Microlensing,2023,OGLE,-29.0146,-70.6926,11.561052,12.7,2262.93826,0,98.57,0.02,6370,0,1.84
OGLE-2019-BLG-0299L b,OGLE-2019-BLG-0299L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,12.7,1976.89269,0,98.57,0.02,5830,0,2.8
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,2,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,14.2,162.09249,0,98.57,0.02,6980,0,1.23
OGLE-2019-BLG-0362L b,OGLE-2019-BLG-0362L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,13.1,1036.12061,0,98.57,0.02,5830,0,2.18
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,1,2,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,13.1,1090.15144,0,98.57,0.02,4400,0,3.29
OGLE-2019-BLG-0468L c,OGLE-2019-BLG-0468L,1,2,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,12.5,3248.20632,0,98.57,0.02,4400,0,2.77
OGLE-2019-BLG-0679L b,OGLE-2019-BLG-0679L,1,1,Microlensing,2023,OGLE,-29.0146,-70.6926,11.561052,13.1,1061.54688,0,98.57,0.02,5630,0,6.99
OGLE-2019-BLG-0954L b,OGLE-2019-BLG-0954L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,12.3,4513.16338,0,98.57,0.02,3630,0,2.65
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,1,1,Microlensing,2021,OGLE,-29.0146,-70.6926,11.561052,1.39,2.5,0,98.57,0.02,980,0,1.9
OGLE-2019-BLG-1180L b,OGLE-2019-BLG-1180L,1,1,Microlensing,2023,OGLE,-29.0146,-70.6926,11.561052,13.5,555.24623,0,98.57,0.02,6070,0,5.19
OGLE-2019-BLG-1470L AB c,OGLE-2019-BLG-1470L A,2,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,13.3,699.2225,0,98.57,0.02,5900,0,3.2
OGLE-2019-BLG-1492L b,OGLE-2019-BLG-1492L,1,1,Microlensing,2022,OGLE,-29.0146,-70.6926,11.561052,6.79,37.1,0,98.57,0.02,5600,0,2.7
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,30.6695,-104.0202,0.7365474,1.875,7.99,0.05,2657.83,0.35,12.5855,4.43,0.01544
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,La Silla Observatory,-29.25,-70.73333333,1891,14,214,0.1,0.02,0.12,23.7324,4.67,2.63
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,La Silla Observatory,-29.25,-70.73333333,6240,12.9,1525.57635,0.43,0,0.12,23.7324,4.67,5.9
GJ 1061 b,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,-29.25,-70.73333333,3.204,1.1,1.37,0.31,3.8,-0.08,3.67278,5.16,0.021
GJ 1061 c,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,-29.25,-70.73333333,6.689,1.18,1.74,0.29,1.4,-0.08,3.67278,5.16,0.035
GJ 1061 d,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,-29.25,-70.73333333,13.031,1.16,1.64,0.53,0.6,-0.08,3.67278,5.16,0.054
GJ 251 b,GJ 251,1,1,Radial Velocity,2020,W. M. Keck Observatory,19.82636111,-155.4750111,14.238,1.83,4,0.1,2.53,-0.03,5.58057,4.96,0.0818
GJ 273 b,GJ 273,1,2,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,18.6498,1.51,2.89,0.1,1.06,0.09,5.921535,4.91,0.091101
GJ 273 c,GJ 273,1,2,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,4.7234,1.06,1.18,0.17,6.66,0.09,5.921535,4.91,0.036467
GJ 3138 b,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,1.22003,1.18,1.78,0.19,118.1,-0.3,28.4712,4.63,0.0197
GJ 3138 c,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,5.974,1.88,4.18,0.11,13.9,-0.3,28.4712,4.63,0.057
GJ 3138 d,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,257.8,3.23,10.5,0.32,0.1,-0.3,28.4712,4.63,0.698
GJ 3293 b,GJ 3293,1,4,Radial Velocity,2015,La Silla Observatory,-29.25,-70.73333333,30.5987,5.19,23.54,0.06,1.07,0.02,20.1903,4.78,0.14339
GJ 3293 c,GJ 3293,1,4,Radial Velocity,2015,La Silla Observatory,-29.25,-70.73333333,122.6196,4.87,21.09,0.11,0.17,0.02,20.1903,4.78,0.36175
GJ 3293 d,GJ 3293,1,4,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,48.1345,2.67,7.6,0.12,0.59,0.02,20.1903,4.78,0.19394
GJ 3293 e,GJ 3293,1,4,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,13.2543,1.63,3.28,0.21,3.34,0.02,20.1903,4.78,0.08208
GJ 3323 b,GJ 3323,1,2,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,5.3636,1.23,2.02,0.23,2.58,-0.27,5.37484,0,0.03282
GJ 3323 c,GJ 3323,1,2,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,40.54,1.32,2.31,0.17,0.17,-0.27,5.37484,0,0.1264
GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,La Silla Observatory,-29.25,-70.73333333,3.3366496,4.57,13.9,0.017,40.58,0.2,29.4214,4.7,0.0355
GJ 3473 c,GJ 3473,2,2,Radial Velocity,2020,Multiple Observatories,40,20,15.509,2.63,7.41,0,1.95,0.11,27.3644,4.81,0.0876
GJ 3929 c,GJ 3929,1,2,Radial Velocity,2022,Multiple Observatories,40,20,15.04,2.26,5.71,0,1.68,-0.02,15.8095,4.89,0.081
GJ 3988 b,GJ 3988,1,1,Radial Velocity,2023,Calar Alto Observatory,37.2208,-2.5456,6.9442,1.74,3.69,0,2.45,-0.12,9.9105,4.92,0.0405
GJ 411 b,GJ 411,1,2,Radial Velocity,2019,Haute-Provence Observatory,43.9254,5.7077,12.9394,1.45,2.69,0.063,3.13,-0.362,5.675773,4.9,0.07879
GJ 436 b,GJ 436,1,1,Radial Velocity,2004,W. M. Keck Observatory,19.82636111,-155.4750111,2.64388312,4.17,22.1,0.13827,29.43,0.099,9.75321,4.79,0.0291
GJ 486 b,GJ 486,1,1,Radial Velocity,2021,Calar Alto Observatory,37.2208,-2.5456,1.467119,1.305,2.82,0.05,40.3,0.07,8.07426,4.89,0.01734
GJ 514 b,GJ 514,1,1,Radial Velocity,2022,Multiple Observatories,40,20,140.43,2.13,5.2,0.45,0.28,-0.14,7.61778,4.76,0.422
GJ 724 b,GJ 724,1,1,Radial Velocity,2023,Calar Alto Observatory,37.2208,-2.5456,5.101284,3.27,10.75,0.577,23.32,-0.02,16.9658,4.88,0.04685
GJ 740 b,GJ 740,1,1,Radial Velocity,2021,Multiple Observatories,40,20,2.37756,1.53,2.96,0.24,79,0.08,11.1017,4.68,0.029
GJ 887 b,GJ 887,1,2,Radial Velocity,2020,La Silla Observatory,-29.25,-70.73333333,9.262,1.88,4.2,0,7.95,-0.06,3.29,4.78,0.068
HATS-59 c,HATS-59,1,2,Radial Velocity,2018,HATSouth,-31.2752,149.0686,1422,12.3,4036.441,0.083,0.16,0.18,642.884,4.42,2.504
HD 109286 b,HD 109286,1,1,Radial Velocity,2021,Haute-Provence Observatory,43.9254,5.7077,520.1,13.2,950.30694,0.338,0.71,0.05,55.4156,4.44,1.259
HD 110113 c,HD 110113,1,2,Radial Velocity,2021,La Silla Observatory,-29.25,-70.73333333,6.744,2.114,10.5,0.045,199.9,0.14,106.307,4.46,0.068
HD 115954 b,HD 115954,1,1,Radial Velocity,2021,Haute-Provence Observatory,43.9254,5.7077,3700,12.6,2685.65004,0.487,0.06,0.34,87.6437,4.15,5
HD 118203 b,HD 118203,1,1,Radial Velocity,2005,Haute-Provence Observatory,43.9254,5.7077,6.134985,12.733,688.41633,0.314,755.3,0.223,92.2589,3.89,0.07071
HD 136352 b,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,-29.25,-70.73333333,11.57797,1.664,4.72,0,111.6,-0.24,14.682,4.39,0.0964
HD 136352 c,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,-29.25,-70.73333333,27.59221,2.916,11.24,0,35.1,-0.24,14.682,4.39,0.1721
HD 136352 d,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,-29.25,-70.73333333,107.245,2.562,8.82,0,5.74,-0.24,14.682,4.39,0.425
HD 149026 b,HD 149026,1,1,Radial Velocity,2005,Subaru Telescope,19.8255,-155.476,2.87589,8.295,120.7754,0,1529.98,0.32,75.8643,4.37,0.04364
HD 164922 b,HD 164922,1,4,Radial Velocity,2005,W. M. Keck Observatory,19.82636111,-155.4750111,1207,13.3,116,0.08,0.16,0.18,22.0016,4.46,2.16
HD 164922 c,HD 164922,1,4,Radial Velocity,2016,Multiple Observatories,40,20,75.74,3.66,13,0.12,6.29,0.18,22.0016,4.46,0.341
HD 17156 b,HD 17156,1,1,Radial Velocity,2007,Subaru Telescope,19.8255,-155.476,21.21663,12.33,1115.5833,0.68,17.44,0.19,78.0863,4.2,0.16278
HD 176986 b,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,40,20,6.4898,2.26,5.74,0.066,83.5,0.03,27.7843,4.44,0.06296
HD 176986 c,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,40,20,16.8191,2.98,9.18,0.111,23.5,0.03,27.7843,4.44,0.11878
HD 189733 b,HD 189733,2,1,Radial Velocity,2005,Haute-Provence Observatory,43.9254,5.7077,2.21857567,12.666,359.1479,0,356,-0.02,19.7638,4.49,0.03126
HD 191939 e,HD 191939,1,6,Radial Velocity,2022,W. M. Keck Observatory,19.82636111,-155.4750111,101.12,13,112.2,0.031,3.9,-0.15,53.6089,4.3,0.407
HD 191939 g,HD 191939,1,6,Radial Velocity,2022,Multiple Observatories,40,20,284,3.74,13.5,0.03,0.99,-0.15,53.6089,4.3,0.812
HD 209458 b,HD 209458,1,1,Radial Velocity,1999,W. M. Keck Observatory,19.82636111,-155.4750111,3.52474859,15.581,232.0159,0,758.36,0.01,48.3016,4.45,0.04707
HD 211403 b,HD 211403,1,1,Radial Velocity,2021,Haute-Provence Observatory,43.9254,5.7077,223.8,12.8,1760.76937,0.084,3.44,0.18,83.0919,4.3,0.768
HD 219134 b,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,28.75472,-17.885,3.092926,1.602,4.74,0,176.2,0.11,6.53127,4.57,0.03876
HD 219134 c,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,28.75472,-17.885,6.76458,1.511,4.36,0.062,62.1,0.11,6.53127,4.57,0.0653
HD 219134 d,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,28.75472,-17.885,46.859,1.61,16.17,0.138,4.72,0.11,6.53127,4.57,0.237
HD 219134 f,HD 219134,1,6,Radial Velocity,2015,Multiple Observatories,40,20,22.717,1.31,7.3,0.148,12.38,0.11,6.53127,4.57,0.1463
HD 238090 b,HD 238090,1,1,Radial Velocity,2020,Multiple Observatories,40,20,13.671,2.52,6.89,0.3,8.1,-0.03,15.2354,4.7,0.0932
HD 27969 b,HD 27969,1,1,Radial Velocity,2021,Haute-Provence Observatory,43.9254,5.7077,654.5,12.9,1525.57635,0.182,0.76,0.18,67.9328,4.12,1.552
HD 3167 d,HD 3167,1,4,Radial Velocity,2017,Multiple Observatories,40,20,8.4112,1.92,4.33,0.12,88.9,0.04,47.2899,4.47,0.0763
HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Multiple Observatories,40,20,149.61,3.89,14.4,0.19,3.16,-0.09,24.3358,4.44,0.554
HD 62364 b,HD 62364,1,2,Radial Velocity,2022,Multiple Observatories,40,20,5138,12.1,5965.6392,0.607,0.07,-0.11,53.112,4.14,6.15
HD 63935 c,HD 63935,1,2,Radial Velocity,2021,Multiple Observatories,40,20,21.4023,2.9,11.1,0,36.7,0.07,48.9739,4.38,0
HD 74698 b,HD 74698,1,2,Radial Velocity,2023,La Silla Observatory,-29.25,-70.73333333,15.017,5.12,23,0.1,123,0.07,52.0648,4.12,0.121
HD 74698 c,HD 74698,1,2,Radial Velocity,2023,La Silla Observatory,-29.25,-70.73333333,3449,14,126,0.2,0.09,0.07,52.0648,4.12,4.5
HD 7924 b,HD 7924,1,3,Radial Velocity,2008,W. M. Keck Observatory,19.82636111,-155.4750111,5.39792,2.4,6.3566,0.06,113.7,-0.21,16.9922,4.46,0.06
HD 7924 c,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,19.82636111,-155.4750111,15.299,2.72,7.86,0.098,28.35,-0.15,16.9922,4.59,0.1134
HD 7924 d,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,19.82636111,-155.4750111,24.451,2.42,6.44,0.21,15.17,-0.15,16.9922,4.59,0.1551
HD 80869 b,HD 80869,1,1,Radial Velocity,2021,Haute-Provence Observatory,43.9254,5.7077,1752.92067,12.8,1609.80088,0.924,0.14,0.17,85.3951,4.18,2.905
HD 94771 b,HD 94771,1,1,Radial Velocity,2023,La Silla Observatory,-29.25,-70.73333333,2164,14.2,169,0.39,0.27,0.22,57.7807,3.94,3.48
HD 95338 b,HD 95338,1,1,Radial Velocity,2020,Las Campanas Observatory,-29.0146,-70.6926,55.087,3.89,42.44,0.197,7.42,0.04,36.9941,4.54,0.262
HD 95544 b,HD 95544,1,1,Radial Velocity,2021,Haute-Provence Observatory,43.9254,5.7077,2041.54152,12.8,1913.64484,0.049,0.1,0.11,87.8049,4.07,3.166
HD 97658 b,HD 97658,1,1,Radial Velocity,2010,W. M. Keck Observatory,19.82636111,-155.4750111,9.4897116,2.12,8.3,0.05,41.92,-0.23,21.5618,4.64,0.0805
HIP 54597 b,HIP 54597,1,1,Radial Velocity,2023,La Silla Observatory,-29.25,-70.73333333,3274,13.3,762.78818,0.03,0.01,-0.22,39.7429,4.43,4
HN Lib b,HN Lib,1,1,Radial Velocity,2023,Calar Alto Observatory,37.2208,-2.5456,36.116,2.2,5.46,0.079,0.5,-0.18,6.24442,4.76,0.1417
K2-312 c,HD 80653,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,28.75472,-17.885,921.2,12.8,1719.45168,0,98.57,0.02,109.86,4.34,1.961
KELT-6 c,KELT-6,1,2,Radial Velocity,2015,Multiple Observatories,40,20,1276,13,1179.1493,0,98.57,0.02,240.726,4.12,2.39
KIC 3526061 b,KIC 3526061,1,1,Radial Velocity,2022,McDonald Observatory,30.6695,-104.0202,3552,12.1,5768.58559,0,98.57,0.02,401.229,3.09,5.14
Kapteyn c,Kapteyn,1,1,Radial Velocity,2014,Multiple Observatories,40,20,121.54,2.54,7,0,98.57,0.02,3.93305,4.92,0.311
Kepler-10 d,Kepler-10,1,3,Radial Velocity,2023,Roque de los Muchachos Observatory,28.75472,-17.885,151.04,3.61,12.68,0,98.57,0.02,185.506,4.34,0.5379
Kepler-129 d,Kepler-129,1,3,Radial Velocity,2021,W. M. Keck Observatory,19.82636111,-155.4750111,2646,12.6,2637.97578,0,98.57,0.02,408.845,4.08,4
Kepler-1656 c,Kepler-1656,1,2,Radial Velocity,2022,W. M. Keck Observatory,19.82636111,-155.4750111,1919,14,126.4,0,98.57,0.02,185.875,4.4,3.053
Kepler-19 d,Kepler-19,1,3,Radial Velocity,2017,Roque de los Muchachos Observatory,28.75472,-17.885,62.95,5.06,22.5,0,98.57,0.02,218.562,4.51,0
Kepler-20 g,Kepler-20,2,6,Radial Velocity,2016,Multiple Observatories,40,20,34.94,4.71,19.96,0,98.57,0.02,282.563,4.45,0.2055
Kepler-25 d,Kepler-25,2,3,Radial Velocity,2014,W. M. Keck Observatory,19.82636111,-155.4750111,122.4,10,71.9,0,98.57,0.02,243.249,4.28,0
Kepler-407 c,Kepler-407,1,2,Radial Velocity,2014,W. M. Keck Observatory,19.82636111,-155.4750111,3000,12.3,4000,0,98.57,0.02,338.368,4.43,0
Kepler-424 c,Kepler-424,1,2,Radial Velocity,2014,McDonald Observatory,30.6695,-104.0202,223.3,12.7,2215.18,0,98.57,0.02,698.646,4.5,0.73
Kepler-432 c,Kepler-432,2,2,Radial Velocity,2015,Fred Lawrence Whipple Observatory,31.68111111,-110.8780556,406.2,13.3,772.3269,0,98.57,0.02,848.023,3.35,0
Kepler-454 c,Kepler-454,2,3,Radial Velocity,2015,Multiple Facilities,75,-120,524.19,12.9,1433.40612,0,98.57,0.02,230.869,4.37,1.287
Kepler-454 d,Kepler-454,2,3,Radial Velocity,2023,Roque de los Muchachos Observatory,28.75472,-17.885,4073,13.3,734.18362,0,98.57,0.02,230.869,4.4,5.1
